Município,Tipo Crime,PC-Qtde Ocorrências
Brasília,Estupro,38.0
Brasília,Furto de veículo,1590.0
Brasília,Homicídio doloso,13.0
Brasília,Lesão corporal seguida de morte,1.0
Brasília,Roubo de veículo,281.0
Brazlândia,Estupro,22.0
Brazlândia,Furto de veículo,83.0
Brazlândia,Homicídio doloso,16.0
Brazlândia,Roubo de veículo,63.0
Brazlândia,Roubo seguido de morte (latrocínio),1.0
Candangolândia,Estupro,2.0
Candangolândia,Furto de veículo,25.0
Candangolândia,Homicídio doloso,3.0
Candangolândia,Roubo de veículo,17.0
Ceilândia,Estupro,96.0
Ceilândia,Furto de veículo,891.0
Ceilândia,Homicídio doloso,97.0
Ceilândia,Lesão corporal seguida de morte,2.0
Ceilândia,Roubo de veículo,850.0
Ceilândia,Roubo seguido de morte (latrocínio),1.0
Cruzeiro,Estupro,3.0
Cruzeiro,Furto de veículo,47.0
Cruzeiro,Roubo de veículo,30.0
Cruzeiro,Roubo seguido de morte (latrocínio),2.0
Gama,Estupro,32.0
Gama,Furto de veículo,453.0
Gama,Homicídio doloso,39.0
Gama,Roubo de veículo,348.0
Gama,Roubo seguido de morte (latrocínio),2.0
Guará,Estupro,17.0
Guará,Furto de veículo,207.0
Guará,Homicídio doloso,4.0
Guará,Roubo de veículo,167.0
Guará,Roubo seguido de morte (latrocínio),3.0
Itapoá,Estupro,3.0
Itapoá,Furto de veículo,4.0
Itapoá,Roubo de veículo,4.0
Jardim Botânico,Estupro,27.0
Jardim Botânico,Furto de veículo,74.0
Jardim Botânico,Homicídio doloso,23.0
Jardim Botânico,Roubo de veículo,46.0
Jardim Botânico,Roubo seguido de morte (latrocínio),1.0
Lago Norte,Estupro,3.0
Lago Norte,Furto de veículo,23.0
Lago Norte,Homicídio doloso,1.0
Lago Norte,Roubo de veículo,27.0
Lago Sul,Estupro,2.0
Lago Sul,Furto de veículo,36.0
Lago Sul,Homicídio doloso,1.0
Lago Sul,Roubo de veículo,10.0
Núcleo Bandeirante,Estupro,2.0
Núcleo Bandeirante,Furto de veículo,95.0
Núcleo Bandeirante,Homicídio doloso,2.0
Núcleo Bandeirante,Roubo de veículo,42.0
Núcleo Bandeirante,Roubo seguido de morte (latrocínio),1.0
Paranoá,Estupro,17.0
Paranoá,Furto de veículo,153.0
Paranoá,Homicídio doloso,33.0
Paranoá,Roubo de veículo,107.0
Paranoá,Roubo seguido de morte (latrocínio),1.0
Park Way,Estupro,6.0
Park Way,Furto de veículo,18.0
Park Way,Roubo de veículo,21.0
Planaltina,Estupro,49.0
Planaltina,Furto de veículo,317.0
Planaltina,Homicídio doloso,60.0
Planaltina,Roubo de veículo,270.0
Planaltina,Roubo seguido de morte (latrocínio),2.0
Recanto Das Emas,Estupro,26.0
Recanto Das Emas,Furto de veículo,173.0
Recanto Das Emas,Homicídio doloso,47.0
Recanto Das Emas,Lesão corporal seguida de morte,1.0
Recanto Das Emas,Roubo de veículo,381.0
Recanto Das Emas,Roubo seguido de morte (latrocínio),5.0
Riacho Fundo,Estupro,8.0
Riacho Fundo,Furto de veículo,61.0
Riacho Fundo,Homicídio doloso,2.0
Riacho Fundo,Roubo de veículo,46.0
Riacho Fundo Ii,Estupro,7.0
Riacho Fundo Ii,Furto de veículo,39.0
Riacho Fundo Ii,Homicídio doloso,12.0
Riacho Fundo Ii,Roubo de veículo,81.0
S.I.A.,Estupro,11.0
S.I.A.,Furto de veículo,100.0
S.I.A.,Homicídio doloso,19.0
S.I.A.,Roubo de veículo,76.0
S.I.A.,Roubo seguido de morte (latrocínio),2.0
Samambaia,Estupro,52.0
Samambaia,Furto de veículo,495.0
Samambaia,Homicídio doloso,46.0
Samambaia,Roubo de veículo,887.0
Samambaia,Roubo seguido de morte (latrocínio),7.0
Santa Maria,Estupro,26.0
Santa Maria,Furto de veículo,280.0
Santa Maria,Homicídio doloso,32.0
Santa Maria,Roubo de veículo,400.0
Santa Maria,Roubo seguido de morte (latrocínio),3.0
Scia (Estrutural),Estupro,21.0
Scia (Estrutural),Furto de veículo,82.0
Scia (Estrutural),Homicídio doloso,15.0
Scia (Estrutural),Roubo de veículo,69.0
Scia (Estrutural),Roubo seguido de morte (latrocínio),1.0
Sobradinho,Estupro,32.0
Sobradinho,Furto de veículo,220.0
Sobradinho,Homicídio doloso,14.0
Sobradinho,Lesão corporal seguida de morte,2.0
Sobradinho,Roubo de veículo,164.0
Sobradinho,Roubo seguido de morte (latrocínio),2.0
Sobradinho Ii,Estupro,5.0
Sobradinho Ii,Furto de veículo,6.0
Sobradinho Ii,Homicídio doloso,5.0
Sobradinho Ii,Roubo de veículo,11.0
Sudoeste/Octogonal,Furto de veículo,65.0
Sudoeste/Octogonal,Homicídio doloso,1.0
Sudoeste/Octogonal,Roubo de veículo,12.0
São Sebastião,Estupro,32.0
São Sebastião,Furto de veículo,113.0
São Sebastião,Homicídio doloso,41.0
São Sebastião,Roubo de veículo,127.0
São Sebastião,Roubo seguido de morte (latrocínio),5.0
Taguatinga,Estupro,50.0
Taguatinga,Furto de veículo,742.0
Taguatinga,Homicídio doloso,26.0
Taguatinga,Roubo de veículo,891.0
Taguatinga,Roubo seguido de morte (latrocínio),1.0
Varjão,Estupro,3.0
Varjão,Furto de veículo,9.0
Varjão,Homicídio doloso,2.0
Varjão,Roubo de veículo,1.0
Vicente Pires,Estupro,22.0
Vicente Pires,Furto de veículo,263.0
Vicente Pires,Homicídio doloso,15.0
Vicente Pires,Roubo de veículo,96.0
Vicente Pires,Roubo seguido de morte (latrocínio),2.0
Águas Claras,Estupro,22.0
Águas Claras,Furto de veículo,260.0
Águas Claras,Homicídio doloso,3.0
Águas Claras,Roubo de veículo,99.0
