Município,Tipo Crime,PC-Qtde Ocorrências
Brasília,Estupro,38.0
Brasília,Furto de veículo,1356.0
Brasília,Homicídio doloso,23.0
Brasília,Roubo de veículo,303.0
Brasília,Roubo seguido de morte (latrocínio),1.0
Brazlândia,Estupro,12.0
Brazlândia,Furto de veículo,85.0
Brazlândia,Homicídio doloso,21.0
Brazlândia,Roubo de veículo,85.0
Candangolândia,Estupro,5.0
Candangolândia,Furto de veículo,30.0
Candangolândia,Homicídio doloso,5.0
Candangolândia,Roubo de veículo,14.0
Candangolândia,Roubo seguido de morte (latrocínio),1.0
Ceilândia,Estupro,114.0
Ceilândia,Furto de veículo,965.0
Ceilândia,Homicídio doloso,110.0
Ceilândia,Roubo de veículo,851.0
Ceilândia,Roubo seguido de morte (latrocínio),6.0
Cruzeiro,Estupro,3.0
Cruzeiro,Furto de veículo,66.0
Cruzeiro,Homicídio doloso,3.0
Cruzeiro,Roubo de veículo,39.0
Cruzeiro,Roubo seguido de morte (latrocínio),1.0
Gama,Estupro,46.0
Gama,Furto de veículo,306.0
Gama,Homicídio doloso,38.0
Gama,Roubo de veículo,224.0
Gama,Roubo seguido de morte (latrocínio),2.0
Guará,Estupro,13.0
Guará,Furto de veículo,234.0
Guará,Homicídio doloso,16.0
Guará,Lesão corporal seguida de morte,1.0
Guará,Roubo de veículo,148.0
Itapoá,Furto de veículo,6.0
Itapoá,Roubo de veículo,4.0
Jardim Botânico,Estupro,15.0
Jardim Botânico,Furto de veículo,54.0
Jardim Botânico,Homicídio doloso,21.0
Jardim Botânico,Roubo de veículo,31.0
Jardim Botânico,Roubo seguido de morte (latrocínio),2.0
Lago Norte,Estupro,7.0
Lago Norte,Furto de veículo,50.0
Lago Norte,Homicídio doloso,5.0
Lago Norte,Roubo de veículo,23.0
Lago Sul,Estupro,2.0
Lago Sul,Furto de veículo,40.0
Lago Sul,Roubo de veículo,17.0
Lago Sul,Roubo seguido de morte (latrocínio),1.0
Núcleo Bandeirante,Estupro,4.0
Núcleo Bandeirante,Furto de veículo,98.0
Núcleo Bandeirante,Homicídio doloso,1.0
Núcleo Bandeirante,Roubo de veículo,49.0
Paranoá,Estupro,18.0
Paranoá,Furto de veículo,174.0
Paranoá,Homicídio doloso,23.0
Paranoá,Roubo de veículo,83.0
Paranoá,Roubo seguido de morte (latrocínio),1.0
Park Way,Estupro,1.0
Park Way,Furto de veículo,30.0
Park Way,Homicídio doloso,1.0
Park Way,Roubo de veículo,16.0
Park Way,Roubo seguido de morte (latrocínio),1.0
Planaltina,Estupro,60.0
Planaltina,Furto de veículo,290.0
Planaltina,Homicídio doloso,54.0
Planaltina,Lesão corporal seguida de morte,2.0
Planaltina,Roubo de veículo,232.0
Planaltina,Roubo seguido de morte (latrocínio),4.0
Recanto Das Emas,Estupro,39.0
Recanto Das Emas,Furto de veículo,172.0
Recanto Das Emas,Homicídio doloso,39.0
Recanto Das Emas,Roubo de veículo,252.0
Recanto Das Emas,Roubo seguido de morte (latrocínio),2.0
Riacho Fundo,Estupro,9.0
Riacho Fundo,Furto de veículo,61.0
Riacho Fundo,Homicídio doloso,6.0
Riacho Fundo,Roubo de veículo,46.0
Riacho Fundo Ii,Estupro,7.0
Riacho Fundo Ii,Furto de veículo,25.0
Riacho Fundo Ii,Homicídio doloso,4.0
Riacho Fundo Ii,Roubo de veículo,52.0
S.I.A.,Estupro,11.0
S.I.A.,Furto de veículo,83.0
S.I.A.,Homicídio doloso,30.0
S.I.A.,Lesão corporal seguida de morte,1.0
S.I.A.,Roubo de veículo,67.0
Samambaia,Estupro,50.0
Samambaia,Furto de veículo,450.0
Samambaia,Homicídio doloso,40.0
Samambaia,Lesão corporal seguida de morte,1.0
Samambaia,Roubo de veículo,686.0
Samambaia,Roubo seguido de morte (latrocínio),8.0
Santa Maria,Estupro,32.0
Santa Maria,Furto de veículo,204.0
Santa Maria,Homicídio doloso,53.0
Santa Maria,Roubo de veículo,242.0
Santa Maria,Roubo seguido de morte (latrocínio),6.0
Scia (Estrutural),Estupro,13.0
Scia (Estrutural),Furto de veículo,65.0
Scia (Estrutural),Homicídio doloso,23.0
Scia (Estrutural),Roubo de veículo,30.0
Scia (Estrutural),Roubo seguido de morte (latrocínio),1.0
Sobradinho,Estupro,22.0
Sobradinho,Furto de veículo,186.0
Sobradinho,Homicídio doloso,21.0
Sobradinho,Roubo de veículo,107.0
Sobradinho,Roubo seguido de morte (latrocínio),2.0
Sobradinho Ii,Estupro,2.0
Sobradinho Ii,Furto de veículo,10.0
Sobradinho Ii,Homicídio doloso,1.0
Sobradinho Ii,Roubo de veículo,4.0
Sudoeste/Octogonal,Furto de veículo,58.0
Sudoeste/Octogonal,Roubo de veículo,26.0
São Sebastião,Estupro,27.0
São Sebastião,Furto de veículo,131.0
São Sebastião,Homicídio doloso,26.0
São Sebastião,Lesão corporal seguida de morte,1.0
São Sebastião,Roubo de veículo,120.0
Taguatinga,Estupro,36.0
Taguatinga,Furto de veículo,741.0
Taguatinga,Homicídio doloso,35.0
Taguatinga,Roubo de veículo,843.0
Taguatinga,Roubo seguido de morte (latrocínio),5.0
Varjão,Estupro,3.0
Varjão,Furto de veículo,40.0
Varjão,Roubo de veículo,4.0
Vicente Pires,Estupro,19.0
Vicente Pires,Furto de veículo,239.0
Vicente Pires,Homicídio doloso,4.0
