Município,Tipo Crime,PC-Qtde Ocorrências
Brasília,Estupro,46.0
Brasília,Furto de veículo,1321.0
Brasília,Homicídio doloso,20.0
Brasília,Roubo de veículo,301.0
Brasília,Roubo seguido de morte (latrocínio),3.0
Brazlândia,Estupro,18.0
Brazlândia,Furto de veículo,99.0
Brazlândia,Homicídio doloso,19.0
Brazlândia,Roubo de veículo,34.0
Candangolândia,Estupro,9.0
Candangolândia,Furto de veículo,25.0
Candangolândia,Homicídio doloso,8.0
Candangolândia,Roubo de veículo,8.0
Ceilândia,Estupro,138.0
Ceilândia,Furto de veículo,1093.0
Ceilândia,Homicídio doloso,161.0
Ceilândia,Lesão corporal seguida de morte,4.0
Ceilândia,Roubo de veículo,695.0
Ceilândia,Roubo seguido de morte (latrocínio),3.0
Cruzeiro,Estupro,4.0
Cruzeiro,Furto de veículo,91.0
Cruzeiro,Roubo de veículo,21.0
Gama,Estupro,55.0
Gama,Furto de veículo,312.0
Gama,Homicídio doloso,38.0
Gama,Roubo de veículo,210.0
Gama,Roubo seguido de morte (latrocínio),2.0
Guará,Estupro,24.0
Guará,Furto de veículo,271.0
Guará,Homicídio doloso,14.0
Guará,Roubo de veículo,161.0
Itapoá,Estupro,2.0
Itapoá,Furto de veículo,5.0
Itapoá,Homicídio doloso,1.0
Itapoá,Roubo de veículo,9.0
Jardim Botânico,Estupro,16.0
Jardim Botânico,Furto de veículo,71.0
Jardim Botânico,Homicídio doloso,6.0
Jardim Botânico,Roubo de veículo,21.0
Jardim Botânico,Roubo seguido de morte (latrocínio),1.0
Lago Norte,Estupro,9.0
Lago Norte,Furto de veículo,23.0
Lago Norte,Homicídio doloso,1.0
Lago Norte,Roubo de veículo,21.0
Lago Sul,Estupro,8.0
Lago Sul,Furto de veículo,52.0
Lago Sul,Homicídio doloso,1.0
Lago Sul,Roubo de veículo,41.0
Núcleo Bandeirante,Estupro,6.0
Núcleo Bandeirante,Furto de veículo,85.0
Núcleo Bandeirante,Homicídio doloso,6.0
Núcleo Bandeirante,Roubo de veículo,42.0
Paranoá,Estupro,29.0
Paranoá,Furto de veículo,70.0
Paranoá,Homicídio doloso,23.0
Paranoá,Roubo de veículo,69.0
Paranoá,Roubo seguido de morte (latrocínio),1.0
Park Way,Estupro,6.0
Park Way,Furto de veículo,20.0
Park Way,Roubo de veículo,15.0
Planaltina,Estupro,68.0
Planaltina,Furto de veículo,209.0
Planaltina,Homicídio doloso,85.0
Planaltina,Roubo de veículo,210.0
Planaltina,Roubo seguido de morte (latrocínio),3.0
Recanto Das Emas,Estupro,45.0
Recanto Das Emas,Furto de veículo,189.0
Recanto Das Emas,Homicídio doloso,40.0
Recanto Das Emas,Roubo de veículo,179.0
Riacho Fundo,Estupro,26.0
Riacho Fundo,Furto de veículo,120.0
Riacho Fundo,Homicídio doloso,15.0
Riacho Fundo,Roubo de veículo,110.0
S.I.A.,Estupro,35.0
S.I.A.,Furto de veículo,51.0
S.I.A.,Homicídio doloso,13.0
S.I.A.,Roubo de veículo,108.0
Samambaia,Estupro,69.0
Samambaia,Furto de veículo,508.0
Samambaia,Homicídio doloso,52.0
Samambaia,Roubo de veículo,527.0
Samambaia,Roubo seguido de morte (latrocínio),2.0
Santa Maria,Estupro,41.0
Santa Maria,Furto de veículo,171.0
Santa Maria,Homicídio doloso,55.0
Santa Maria,Roubo de veículo,209.0
Santa Maria,Roubo seguido de morte (latrocínio),2.0
Scia (Estrutural),Estupro,20.0
Scia (Estrutural),Furto de veículo,43.0
Scia (Estrutural),Homicídio doloso,31.0
Scia (Estrutural),Lesão corporal seguida de morte,1.0
Scia (Estrutural),Roubo de veículo,21.0
Sobradinho,Estupro,27.0
Sobradinho,Furto de veículo,190.0
Sobradinho,Homicídio doloso,10.0
Sobradinho,Roubo de veículo,84.0
Sudoeste/Octogonal,Estupro,5.0
Sudoeste/Octogonal,Furto de veículo,47.0
Sudoeste/Octogonal,Homicídio doloso,1.0
Sudoeste/Octogonal,Roubo de veículo,19.0
São Sebastião,Estupro,53.0
São Sebastião,Furto de veículo,72.0
São Sebastião,Homicídio doloso,43.0
São Sebastião,Roubo de veículo,102.0
São Sebastião,Roubo seguido de morte (latrocínio),3.0
Taguatinga,Estupro,68.0
Taguatinga,Furto de veículo,919.0
Taguatinga,Homicídio doloso,35.0
Taguatinga,Roubo de veículo,712.0
Taguatinga,Roubo seguido de morte (latrocínio),7.0
Varjão,Estupro,3.0
Varjão,Furto de veículo,8.0
Varjão,Homicídio doloso,3.0
Varjão,Roubo de veículo,3.0
Vicente Pires,Furto de veículo,127.0
Vicente Pires,Homicídio doloso,3.0
Vicente Pires,Roubo de veículo,51.0
Águas Claras,Estupro,21.0
Águas Claras,Furto de veículo,281.0
Águas Claras,Homicídio doloso,8.0
Águas Claras,Roubo de veículo,160.0
